Source;Target;Weight;Type
VIRGINIA ""PEPPER"" POTTS;ENGINEER;1;Undirected
VIRGINIA ""PEPPER"" POTTS;AIR FORCE OFFICER;1;Undirected
VIRGINIA ""PEPPER"" POTTS;WOMAN IN SUV;1;Undirected
VIRGINIA ""PEPPER"" POTTS;KID IN SUV;1;Undirected
VIRGINIA ""PEPPER"" POTTS;GULMIRA KID;1;Undirected
VIRGINIA ""PEPPER"" POTTS;GULMIRA MOM;1;Undirected
VIRGINIA ""PEPPER"" POTTS;REPORTER;1;Undirected
VIRGINIA ""PEPPER"" POTTS;FLIGHT ATTENDANT;1;Undirected
VIRGINIA ""PEPPER"" POTTS;AIR FORCE LIEUTENANT;1;Undirected
VIRGINIA ""PEPPER"" POTTS;ZORIANNA KIT;1;Undirected
VIRGINIA ""PEPPER"" POTTS;STAN'S GIRL;1;Undirected
VIRGINIA ""PEPPER"" POTTS;CAOC ANALYST";1;Undirected
YINSEN;RAZA;1;Undirected
YINSEN;J.A.R.V.I.S. (VOICE);1;Undirected
YINSEN;CHRISTINE EVERHART;1;Undirected
YINSEN;AGENT PHIL COULSON;1;Undirected
YINSEN;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
YINSEN;HAPPY HOGAN;1;Undirected
YINSEN;DIRECTOR NICK FURY;1;Undirected
YINSEN;STAN LEE;1;Undirected
YINSEN;GUARD;1;Undirected
YINSEN;JIM CRAMER;1;Undirected
YINSEN;ABU BAKAAR;1;Undirected
YINSEN;GENERAL GABRIEL;1;Undirected
YINSEN;WILLIAM GINTER RIVA;1;Undirected
YINSEN;MAJOR ALLEN;1;Undirected
YINSEN;JIMMY;1;Undirected
YINSEN;PRATT;1;Undirected
YINSEN;RAMIREZ;1;Undirected
YINSEN;AHMED;1;Undirected
YINSEN;OMAR;1;Undirected
YINSEN;HOWARD STARK;1;Undirected
YINSEN;VIPER 1;1;Undirected
YINSEN;VIPER 2;1;Undirected
YINSEN;AMIRA AHMED;1;Undirected
YINSEN;COLONEL CRAIG;1;Undirected
YINSEN;DEALER AT CRAPS TABLE;1;Undirected
YINSEN;WOMAN AT CRAPS TABLE;1;Undirected
YINSEN;ENGINEER;1;Undirected
YINSEN;AIR FORCE OFFICER;1;Undirected
YINSEN;WOMAN IN SUV;1;Undirected
YINSEN;KID IN SUV;1;Undirected
YINSEN;GULMIRA KID;1;Undirected
YINSEN;GULMIRA MOM;1;Undirected
YINSEN;REPORTER;1;Undirected
YINSEN;FLIGHT ATTENDANT;1;Undirected
YINSEN;AIR FORCE LIEUTENANT;1;Undirected
YINSEN;ZORIANNA KIT;1;Undirected
YINSEN;STAN'S GIRL;1;Undirected
YINSEN;CAOC ANALYST";1;Undirected
RAZA;J.A.R.V.I.S. (VOICE);1;Undirected
RAZA;CHRISTINE EVERHART;1;Undirected
RAZA;AGENT PHIL COULSON;1;Undirected
RAZA;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
RAZA;HAPPY HOGAN;1;Undirected
RAZA;DIRECTOR NICK FURY;1;Undirected
RAZA;STAN LEE;1;Undirected
RAZA;GUARD;1;Undirected
RAZA;JIM CRAMER;1;Undirected
RAZA;ABU BAKAAR;1;Undirected
RAZA;GENERAL GABRIEL;1;Undirected
RAZA;WILLIAM GINTER RIVA;1;Undirected
RAZA;MAJOR ALLEN;1;Undirected
RAZA;JIMMY;1;Undirected
RAZA;PRATT;1;Undirected
RAZA;RAMIREZ;1;Undirected
RAZA;AHMED;1;Undirected
RAZA;OMAR;1;Undirected
RAZA;HOWARD STARK;1;Undirected
RAZA;VIPER 1;1;Undirected
RAZA;VIPER 2;1;Undirected
RAZA;AMIRA AHMED;1;Undirected
RAZA;COLONEL CRAIG;1;Undirected
RAZA;DEALER AT CRAPS TABLE;1;Undirected
RAZA;WOMAN AT CRAPS TABLE;1;Undirected
RAZA;ENGINEER;1;Undirected
RAZA;AIR FORCE OFFICER;1;Undirected
RAZA;WOMAN IN SUV;1;Undirected
RAZA;KID IN SUV;1;Undirected
RAZA;GULMIRA KID;1;Undirected
RAZA;GULMIRA MOM;1;Undirected
RAZA;REPORTER;1;Undirected
RAZA;FLIGHT ATTENDANT;1;Undirected
RAZA;AIR FORCE LIEUTENANT;1;Undirected
RAZA;ZORIANNA KIT;1;Undirected
RAZA;STAN'S GIRL;1;Undirected
RAZA;CAOC ANALYST";1;Undirected
J.A.R.V.I.S. (VOICE);CHRISTINE EVERHART;2;Undirected
J.A.R.V.I.S. (VOICE);AGENT PHIL COULSON;3;Undirected
J.A.R.V.I.S. (VOICE);AWARD CEREMONY NARRATOR (VOICE);1;Undirected
J.A.R.V.I.S. (VOICE);HAPPY HOGAN;2;Undirected
J.A.R.V.I.S. (VOICE);DIRECTOR NICK FURY;3;Undirected
J.A.R.V.I.S. (VOICE);STAN LEE;1;Undirected
