id, character
822,Aral Sea Captain 
823,Mr. Lensherr (Erik's Dad) 
824,Swiss Bank Manager 
825,1st German / Pig Farmer 
826,2nd German / Tailor 
827,Shingen 
828,Harada 
829,Mariko Yashida 
830,Yukio 
831,Madame Hydra / Viper 
832,Yashida 
833,Noburo Mori 
834,Young Yashida 
835,Pock-Face 
836,Aya 
837,Red Beard 
838,Bar Man (Red Beard's Friend) 
839,Yukon Bar Patron 
840,Buddhist Priest 
841,Fruit Cart Vendor 
842,Dying Yakuza 
843,Yashida Security Guard 
844,Charles Xavier / Professor X (Young) 
845,Erik Lehnsherr / Magneto (Young) 
846,Bolivar Trask 
847,Erik Lehnsherr / Magneto (Old) 
848,Charles Xavier / Professor X (Old) 
849,Hank McCoy / Beast (older) 
850,Lucas Bishop 
851,Pietro Maximoff / Quicksilver 
852,Clarice Ferguson / Blink 
853,Roberto da Costa / Sunspot 
854,James Proudstar / Warpath 
855,Congresman Davis 
856,Congressman Parker 
857,Senator Brickman 
858,Ink 
859,President Richard Nixon 
860,Man with a movie camera 
861,En Sabah Nur 
862,Groundskeeper 
863,Pinstripe Mafioso 
864,Col. Sanders 
865,Vietnam MP Guard 
866,Mutant Soldier 
867,Quarantine Doctor 
868,Congressman McCarter 
869,Trask Secretary 
870,Ms. Maximoff 
871,Pentagon Tour Guide 
872,Surveillance Guard 
873,Pentagon Cook 
874,Pentagon Elevator Guard 
875,Armed Kitchen Guard 
876,General Nhuan 
877,Vietnamese Captain 
878,General Petrov 
879,Peace Summit Reporter 
880,Nixon Aide 
881,Secretary of Defense 
882,US Army General 
883,Desk Anchor 
884,French Emergency Nurse 
885,French TV Reporter 
886,Female Traveler 
887,Blue Suit Traveler 
888,Airport Backpacker 
889,White House Reporter 
890,White House Ticket Man 
891,Potomac River Cop 
892,Chinese Translator 
893,Professor Charles Xavier 
894,En Sabah Nur / Apocalypse 
895,Col. William Stryker 
896,Elizabeth 'Betsy' Braddock / Psylocke 
897,Horseman - Pestilence 
898,Horseman - Famine 
899,Horseman - Death 
900,Horseman - War 
901,Lead Conspiracy Guard 
902,Conspirator Guard 
903,High Priest 
904,Old Apocalypse 
905,Scott's Teacher 
906,School Jock 
907,School Cheerleader 
908,Fight Announcer 
"909,Defeated ""Blob"" "
910,Electric Panel Guard 
911,Mr. Summers 
912,Mrs. Summers 
913,Falafel Shop Owner 
914,Clan Akkaba Leader 
915,Clan Akkaba Disciple 
916,Magda 
917,Nina 
918,Cairo Shoe Shop Vendor 
919,Milosz 
920,Polish Worker 
921,Lead Polish Inspector 
922,Jakob 
923,Polish Police Archer 
924,Threatening Cairo Vendor 
925,Egyptian Street Vendor 
926,Caliban 
927,CNN Reporter 
928,News Anchor 
929,Pentagon General Hastings 
930,Pentagon General Radford 
931,Pentagon General Fields 
932,Defense Secretary Weisberg 
933,Military Official Brown 
934,Military Submarine Official 
935,Air Force Official 
936,Foyer Student 
937,Fish Bowl Girl 
938,Kissing Girl 
939,Kissing Guy 
940,Computer Guy 
941,Darts Guy 
942,Tab Girl 
943,Pizza Dog 
944,Student in Drapes 
945,Table Surfing Student 
946,Alkali Soldier 
947,Alkali Guard 
948,Alkali Communications Officer 
949,Confused Tech 
950,Kenyan Teacher 
951,Pentagon Scientist 
952,Fishing Boat Captain 
953,Finsherman 
954,Harbor Master 
955,Harbor Employee 
956,Russian Submarine Sailors 
957,Russian Submarine Sailor 
958,US Weapons Technician 
959,Mystery Man 
960,Logan Howlett / Wolverine / X-24 
961,Donald Pierce 
962,Dr. Zander Rice 
963,Laura Kinney / X-23 
964,Laura (double) 
965,Will Munson 
966,Kathryn Munson 
967,Gabriela Lopez 
968,Maria 
969,Rhodes 
970,Valet 
971,Rictor 
972,Mohawk 
973,Delilah 
974,Nate Munson 
975,Federale Commander 
976,Federale Lieutenant 
977,Federale 
978,Rey (as Rey Gallegos) 
979,Macon 
980,Bone Breaker 
981,Pretty Boy 
982,Reaver 
983,Motel Manager 
984,Bobby 
985,Charlotte 
986,Lizard Boy 
987,Mexican Staff Member 
988,Jackson 
989,Old Doctor 
990,Prom Teen #1 
991,Prom Teen #2 
992,Prom Teen #3 
993,Prom Teen #4 
994,Bridesmaid 
995,Pastor 
996,Mourning Widow 
997,Infirmary Nurse 
998,Car Dealer 
999,Major 
1000,Banger 
1001,Pine Cone Girl 
1002,Jonah 
1003,Mutant Child 
1004,Glowing Eyes Boy 
1005,Jackson's Henchman 
1006,Screaming Casino Woman 
1007,Bumpy Skinned Kid 
1008,Border Guard 
1009,Convenience Store Clerk 
1010,Wade Wilson / Deadpool 
1011,Vanessa Carlysle / Copycat 
1012,Francis Freeman / Ajax 
"1013,Jack ""Weasel"" Hammer "
1014,Christina / Angel Dust 
1015,Blind Al 
1016,Ellie Phimister / Negasonic Teenage Warhead 
1017,The Recruiter 
1018,Piotr Rasputin / Colossus (voice) 
1019,Dopinder 
1020,Buck 
1021,Boothe 
1022,Warlord 
1023,Jeremy (Pizza Guy) 
1024,Gavin Merchant 
1025,Meghan Orlovsky 
1026,Teen Girl #1 
1027,Teen Girl #2 
1028,Arcade Ticket Taker 
1029,Oncologist 
1030,David Cunningham 
1031,Chinatown Merchant 
1032,Whisper Girlfriend 
1033,Whisper Boyfriend 
1034,Pool Hall Goon 
1035,Fight Club Boss 
1036,Garbage Truck Driver 
1037,Super Soldier #1 
1038,Strip Club DJ 
1039,No5 Orange Manager 
1040,Strip Club Worker 
1041,Flight Deck Guard 
1042,Bob 
1043,Blade 
1044,Deacon Frost 
1045,Whistler 
1046,Karen 
1047,Quinn 
1048,Dragonetti 
1049,Mercury 
1050,Racquel 
1051,Krieger 
1052,Curtis Webb 
1053,Vanessa 
1054,Pearl 
1055,Senior Resident 
1056,Resident 
1057,Heatseeking Dennis 
1058,Creepy Morgue Guy 
1059,Pallantine 
1060,Japanese Doorman 
1061,Kam 
1062,Paramedic 
1063,Pragmatic Policeman 
1064,Blood Club Bouncer 
1065,Martial Arts Kid 
1066,Lyle Conway 
1067,Menacing Stud 
1068,Vampire Underling 
1069,Frost's Goon 
1070,Von Esper 
1071,Crease 
1072,Pleading Goon 
1073,Slavic Vampire Lord 
1074,Russian Woman 
1075,Russian Vampire 
1076,Cardboard cut-out in Subway 
1077,Vampire Victim 
1078,Blood Bath Vampire 
1079,Reinhardt 
1080,Nyssa 
1081,Scud 
1082,Damaskinos 
1083,Nomak 
1084,Chupa 
1085,Asad 
1086,Snowman 
1087,Kounen 
1088,Verlaine 
1089,Priest 
1090,Lighthammer 
1091,Rush 
1092,Jigsaw 
1093,Golem 
1094,Blood Bank Doctor / Reaper 
1095,Blood Bank Guard / Reaper 
1096,Blood Bank Nurse 
1097,Drug Dealer 
1098,Blood Bank Guard 
1099,Vampire with Exposed Spine 
1100,Reaper 
1101,St. Cloud 
1102,Choad 
1103,Little G 
1104,Tea Bag 
1105,Man in London Porno Shop 
1106,Young Blade 
1107,Drake 
1108,Abigail Whistler 
1109,Hannibal King 
1110,Danica Talos 
1111,Chief Martin Vreede 
1112,Dr. Edgar Vance 
1113,Asher Talos 
1114,Jarko Grimwood 
1115,Wolfe 
1116,Virago 
1117,Wilson Hale 
1118,Ray Cumberland 
1119,Sommerfield 
1120,Zoe 
1121,Hedges 
1122,Bentley Tittle 
1123,Goth Vixen Wannabe 
1124,Stone 
1125,Johnny Blaze/Ghost Rider 
1126,Roxanne Simpson 
1127,Blackheart / Black King 
1128,Mack 
1129,Carter Slade / Phantom Rider 
1130,Mephistopheles 
1131,Barton Blaze 
1132,Young Johnny Blaze 
1133,Young Roxanne Simpson 
1134,Team Blaze 
1135,X Games Announcer 
1136,Motorcycle Gang Member 
1137,Broken Spoke Waitress 
